review_text,date,category,rating,helpful_votes
Excellent value for money.,2023-12-21,Shipping,3,2
The item arrived late and was damaged.,2024-05-31,Electronics,3,17
I am very happy with this purchase.,2023-12-11,Clothing,4,1
Excellent value for money.,2024-06-26,Electronics,4,9
Not worth the money. Very disappointed.,2024-04-23,Clothing,4,18
I am very happy with this purchase.,2024-07-19,Clothing,2,8
I am very happy with this purchase.,2024-06-22,Automotive,4,13
Will definitely buy from this seller again.,2024-07-28,Customer Service,4,7
Excellent value for money.,2024-07-19,Shipping,5,6
I am very happy with this purchase.,2024-03-19,Clothing,5,4
The worst product I have ever bought.,2023-12-03,Electronics,4,3
Terrible customer service.,2024-08-02,Electronics,1,10
Not worth the money. Very disappointed.,2023-10-09,Electronics,2,4
This product exceeded my expectations!,2023-10-21,Customer Service,5,19
Excellent value for money.,2023-09-15,Automotive,2,17
The worst product I have ever bought.,2024-01-11,Electronics,4,2
Not worth the money. Very disappointed.,2023-11-26,Electronics,2,7
This product exceeded my expectations!,2024-07-15,Home & Garden,3,13
Will definitely buy from this seller again.,2024-05-27,Home & Garden,3,11
This product exceeded my expectations!,2023-12-09,Clothing,3,0
The item arrived late and was damaged.,2024-02-19,Home & Garden,1,12
I am very happy with this purchase.,2023-09-22,Shipping,1,10
This product exceeded my expectations!,2023-10-09,Electronics,2,9
Terrible customer service.,2023-10-06,Clothing,5,13
"Great quality, will buy again.",2024-04-05,Home & Garden,5,16
Fantastic! Highly recommend.,2024-02-29,Customer Service,5,0
Will definitely buy from this seller again.,2024-02-14,Electronics,5,15
The item arrived late and was damaged.,2023-10-30,Electronics,1,4
Not worth the money. Very disappointed.,2023-11-02,Shipping,4,14
Will definitely buy from this seller again.,2023-10-26,Shipping,5,18
Terrible customer service.,2023-11-05,Automotive,3,17
Not worth the money. Very disappointed.,2024-05-31,Home & Garden,2,10
"Great quality, will buy again.",2023-11-27,Customer Service,3,8
Terrible customer service.,2023-09-03,Home & Garden,3,19
Not worth the money. Very disappointed.,2024-05-07,Home & Garden,2,20
I am very happy with this purchase.,2023-10-10,Customer Service,2,4
Not worth the money. Very disappointed.,2023-10-04,Electronics,1,5
The item arrived late and was damaged.,2024-04-24,Customer Service,3,13
Fantastic! Highly recommend.,2023-09-27,Automotive,2,0
Terrible customer service.,2024-02-27,Electronics,3,4
The item arrived late and was damaged.,2023-10-23,Electronics,2,3
This product exceeded my expectations!,2024-02-06,Shipping,1,17
The worst product I have ever bought.,2024-03-13,Shipping,4,9
"Great quality, will buy again.",2023-10-22,Automotive,3,10
"Great quality, will buy again.",2023-12-01,Home & Garden,3,0
"Great quality, will buy again.",2024-07-15,Shipping,5,4
Terrible customer service.,2023-09-17,Customer Service,3,8
Excellent value for money.,2023-11-28,Clothing,2,9
The worst product I have ever bought.,2023-08-30,Automotive,5,5
Fantastic! Highly recommend.,2023-10-23,Home & Garden,3,15
The worst product I have ever bought.,2023-09-03,Electronics,3,11
Terrible customer service.,2024-04-26,Clothing,3,14
The item arrived late and was damaged.,2024-07-20,Automotive,3,13
This product exceeded my expectations!,2023-10-29,Automotive,3,20
Fantastic! Highly recommend.,2024-08-08,Home & Garden,5,12
Terrible customer service.,2024-02-10,Home & Garden,5,20
"Great quality, will buy again.",2023-10-16,Home & Garden,4,15
The item arrived late and was damaged.,2024-01-23,Clothing,2,2
Fantastic! Highly recommend.,2023-12-04,Electronics,5,7
"Great quality, will buy again.",2023-10-21,Automotive,2,20
I am very happy with this purchase.,2024-03-19,Home & Garden,1,2
Terrible customer service.,2024-04-04,Shipping,5,1
